n_threshold,israel_involved_c_star,non_israel_c_star,ratio_isr_non,growth_isr
2,2807.0,126232.0,0.022236833766398376,0.0
3,6007.666666667065,195848.0000000238,0.030675149435615043,1.140244626529058
4,7026.666666667038,213027.50000003885,0.03298478678417461,0.16961660100980502
5,7252.266666666915,217461.70000001596,0.03334962739032382,0.032106261859563334
6,7411.000000000167,219482.30000000863,0.03376582075183227,0.021887409913210698
7,7463.285714285879,220051.0142857201,0.03391616138881028,0.0070551496809756475
