Year,Density,Avg_Clust,Q,EC,EC_rank,BC,BC_rank,Peers
1990,0.27941176470588236,0.08197426167612736,0.27818820548097395,0.008678637877742685,17,0.6416666666666666,1,"libya, iran, turkey, kuwait, jordan"
2000,0.391812865497076,0.08140709825695773,0.2894834446289996,0.03369580090293779,16,0.16993464052287582,4,"turkey, iran, palestine"
2011,0.8362573099415205,0.11271715286725806,0.2107131816166331,0.04747930044277465,19,0.18300653594771243,3,"turkey, iran, palestine"
2020,0.9883040935672515,0.06373003262294297,0.1667433352421728,0.024862743432555817,19,0.8169934640522876,1,"lebanon, palestine, qatar, jordan, united arab emirates"
2025,1.0,0.09947877337392878,0.10685675536317285,0.017255457892353606,19,0.8823529411764706,1,"bahrain, palestine, oman, jordan, lebanon"
