,coef,se,t,p
const,0.002860593877774603,0.00011481135247171931,24.915601255365694,0.0
destab_post,-0.0004241681634208599,0.0006823586608553513,-0.6216205461350134,0.5342152311303157
israel_post,-0.0023616561077978203,0.0003169708352415887,-7.450704750163573,1.0613732115416497e-13
