,coef,se,t,p
const,0.002776216378113839,7.401376405788402e-06,375.0946075303832,0.0
norm_post,-0.0034484605650052878,0.0005256359175832131,-6.560549706840313,5.813638459528647e-11
nonnorm_post,-0.0037152676260270756,0.000421100058837363,-8.822766817665025,0.0
