eid,subject
2-s2.0-85051866064,physics and astronomy
2-s2.0-85051852234,earth and planetary sciences
2-s2.0-85051852234,physics and astronomy
2-s2.0-85047526718,medicine
2-s2.0-85048499004,earth and planetary sciences
2-s2.0-85047190733,earth and planetary sciences
2-s2.0-85047728707,unknown
2-s2.0-85050702158,medicine
2-s2.0-85046766595,agricultural & biological sciences
2-s2.0-85049079307,medicine
2-s2.0-85045147115,medicine
2-s2.0-85041569338,medicine
2-s2.0-85040602547,medicine
2-s2.0-85054620928,agricultural & biological sciences
2-s2.0-85054620928,"biochemistry, genetics & molecular biology"
2-s2.0-85054620928,medicine
2-s2.0-85054620928,neuroscience
2-s2.0-85067918207,mathematics
2-s2.0-85067918207,social sciences
2-s2.0-85040181657,medicine
2-s2.0-85051851022,earth and planetary sciences
2-s2.0-85051851022,physics and astronomy
2-s2.0-85051871100,earth and planetary sciences
2-s2.0-85051871100,physics and astronomy
2-s2.0-85050262252,earth and planetary sciences
2-s2.0-85050262252,physics and astronomy
2-s2.0-85050265521,earth and planetary sciences
2-s2.0-85050265521,physics and astronomy
2-s2.0-85052309383,agricultural & biological sciences
2-s2.0-85076980546,agricultural & biological sciences
2-s2.0-85076980546,earth and planetary sciences
2-s2.0-85076980546,engineering
2-s2.0-85076980546,environmental science
2-s2.0-85072794956,medicine
2-s2.0-85074352081,earth and planetary sciences
2-s2.0-85074352081,environmental science
2-s2.0-85072837248,agricultural & biological sciences
2-s2.0-85072837248,earth and planetary sciences
2-s2.0-85072837248,engineering
2-s2.0-85072837248,environmental science
2-s2.0-85067550531,agricultural & biological sciences
2-s2.0-85067299595,unknown
2-s2.0-85065577280,multidisciplinary
2-s2.0-85062345650,environmental science
2-s2.0-85064086327,unknown
2-s2.0-85040715236,social sciences
2-s2.0-85056617559,medicine
2-s2.0-85056414268,"biochemistry, genetics & molecular biology"
2-s2.0-85056414268,medicine
2-s2.0-85058841219,earth and planetary sciences
2-s2.0-85058841219,physics and astronomy
2-s2.0-85060065060,multidisciplinary
2-s2.0-85077235046,agricultural & biological sciences
2-s2.0-85077235046,earth and planetary sciences
