eid,subject
2-s2.0-85081998437,energy
2-s2.0-85091614030,earth and planetary sciences
2-s2.0-85091614030,energy
2-s2.0-85087392601,earth and planetary sciences
2-s2.0-85087392601,energy
2-s2.0-85092474254,multidisciplinary
2-s2.0-85089969010,physics and astronomy
2-s2.0-85090361783,chemistry
2-s2.0-85090361783,materials science
2-s2.0-85090361783,physics and astronomy
2-s2.0-85089272517,energy
2-s2.0-85089272517,engineering
2-s2.0-85095931764,environmental science
2-s2.0-85077524367,computer science
2-s2.0-85077524367,decision sciences
2-s2.0-85077524367,mathematics
2-s2.0-85077524367,social sciences
2-s2.0-85088264817,engineering
2-s2.0-85088264817,mathematics
2-s2.0-85085591205,computer science
2-s2.0-85085591205,engineering
2-s2.0-85092772122,chemical engineering
2-s2.0-85092772122,chemistry
2-s2.0-85092772122,computer science
2-s2.0-85092772122,materials science
2-s2.0-85092772122,mathematics
2-s2.0-85092772122,physics and astronomy
2-s2.0-85097425881,unknown
2-s2.0-85097439471,unknown
2-s2.0-85098454557,chemical engineering
2-s2.0-85098454557,chemistry
2-s2.0-85097106990,unknown
2-s2.0-85097172815,unknown
2-s2.0-85097207432,unknown
2-s2.0-85096797108,chemical engineering
2-s2.0-85096797108,chemistry
2-s2.0-85087199919,engineering
2-s2.0-85087199919,materials science
2-s2.0-85087199919,mathematics
2-s2.0-85087199919,physics and astronomy
2-s2.0-85091642806,chemistry
2-s2.0-85091642806,materials science
2-s2.0-85091642806,physics and astronomy
2-s2.0-85084728310,computer science
2-s2.0-85084728310,mathematics
2-s2.0-85097505028,computer science
2-s2.0-85097505028,mathematics
2-s2.0-85089101358,chemical engineering
2-s2.0-85089101358,chemistry
2-s2.0-85089101358,physics and astronomy
2-s2.0-85090969537,materials science
2-s2.0-85102458323,agricultural & biological sciences
2-s2.0-85084476897,"biochemistry, genetics & molecular biology"
2-s2.0-85089510201,engineering
2-s2.0-85089510201,materials science
2-s2.0-85089510201,physics and astronomy
2-s2.0-85086374048,chemistry
2-s2.0-85086374048,environmental science
2-s2.0-85086374048,medicine
2-s2.0-85085583612,computer science
2-s2.0-85093357270,engineering
2-s2.0-85093357270,mathematics
2-s2.0-85093103474,chemical engineering
2-s2.0-85093103474,chemistry
2-s2.0-85093103474,computer science
2-s2.0-85084552497,computer science
2-s2.0-85084552497,mathematics
2-s2.0-85103091816,medicine
2-s2.0-85103091816,"pharmacology, toxicology and pharmaceutics"
2-s2.0-85086894887,mathematics
2-s2.0-85086894887,physics and astronomy
2-s2.0-85087759201,chemical engineering
2-s2.0-85087759201,materials science
2-s2.0-85096223209,chemical engineering
2-s2.0-85096223209,materials science
2-s2.0-85086470439,medicine
2-s2.0-85097067658,immunology and microbiology
2-s2.0-85097067658,medicine
2-s2.0-85089484509,engineering
2-s2.0-85096413841,earth and planetary sciences
2-s2.0-85089841246,engineering
2-s2.0-85090589433,chemical engineering
2-s2.0-85090589433,chemistry
2-s2.0-85090589433,energy
2-s2.0-85090589433,engineering
2-s2.0-85096228895,chemistry
2-s2.0-85096228895,computer science
2-s2.0-85096228895,mathematics
2-s2.0-85096228895,physics and astronomy
2-s2.0-85097482847,"biochemistry, genetics & molecular biology"
2-s2.0-85093948157,chemistry
2-s2.0-85093706010,"pharmacology, toxicology and pharmaceutics"
2-s2.0-85086388797,engineering
2-s2.0-85086388797,materials science
2-s2.0-85086388797,mathematics
2-s2.0-85086388797,physics and astronomy
2-s2.0-85088858510,chemistry
2-s2.0-85088858510,materials science
2-s2.0-85088858510,physics and astronomy
2-s2.0-85086591170,"business, management and accounting"
2-s2.0-85086591170,energy
2-s2.0-85086591170,engineering
2-s2.0-85086591170,environmental science
2-s2.0-85095936670,environmental science
2-s2.0-85081601053,engineering
2-s2.0-85087486314,materials science
2-s2.0-85087486314,physics and astronomy
2-s2.0-85091449996,engineering
2-s2.0-85091449996,materials science
2-s2.0-85091449996,physics and astronomy
2-s2.0-85089996122,agricultural & biological sciences
2-s2.0-85088125839,engineering
2-s2.0-85088125839,materials science
2-s2.0-85088125839,physics and astronomy
2-s2.0-85087124713,medicine
2-s2.0-85100026494,medicine
2-s2.0-85098642287,materials science
2-s2.0-85098642287,physics and astronomy
2-s2.0-85091488395,chemical engineering
2-s2.0-85091488395,chemistry
2-s2.0-85091488395,computer science
2-s2.0-85090867007,chemistry
2-s2.0-85085152526,chemical engineering
2-s2.0-85085152526,chemistry
2-s2.0-85085138313,materials science
2-s2.0-85087739645,"business, management and accounting"
2-s2.0-85087739645,computer science
2-s2.0-85098164205,medicine
2-s2.0-85089801424,medicine
2-s2.0-85089700150,materials science
2-s2.0-85104269459,chemistry
2-s2.0-85084815307,"pharmacology, toxicology and pharmaceutics"
2-s2.0-85100680991,"biochemistry, genetics & molecular biology"
2-s2.0-85100680991,medicine
2-s2.0-85089064242,"biochemistry, genetics & molecular biology"
2-s2.0-85098185309,medicine
2-s2.0-85077027227,chemistry
2-s2.0-85077027227,physics and astronomy
2-s2.0-85089294652,earth and planetary sciences
2-s2.0-85089294652,energy
2-s2.0-85087104768,physics and astronomy
2-s2.0-85065700960,computer science
2-s2.0-85065700960,engineering
2-s2.0-85065700960,mathematics
2-s2.0-85092483073,"biochemistry, genetics & molecular biology"
2-s2.0-85092483073,chemistry
2-s2.0-85092483073,"pharmacology, toxicology and pharmaceutics"
2-s2.0-85089416166,computer science
2-s2.0-85089416166,engineering
2-s2.0-85089416166,mathematics
2-s2.0-85089416166,physics and astronomy
2-s2.0-85089579917,earth and planetary sciences
2-s2.0-85089579917,environmental science
2-s2.0-85092754648,"biochemistry, genetics & molecular biology"
2-s2.0-85084429627,engineering
2-s2.0-85084429627,mathematics
2-s2.0-85092763073,physics and astronomy
2-s2.0-85092783409,chemical engineering
2-s2.0-85092783409,chemistry
2-s2.0-85092783409,materials science
2-s2.0-85087777971,immunology and microbiology
2-s2.0-85087777971,medicine
2-s2.0-85087777971,neuroscience
2-s2.0-85084061658,engineering
2-s2.0-85084061658,materials science
2-s2.0-85090450460,chemistry
2-s2.0-85100508334,unknown
2-s2.0-85088792280,energy
2-s2.0-85088792280,physics and astronomy
2-s2.0-85075805848,medicine
2-s2.0-85084228356,engineering
2-s2.0-85084228356,materials science
2-s2.0-85084228356,physics and astronomy
2-s2.0-85081549513,medicine
2-s2.0-85071473082,medicine
2-s2.0-85091404827,"pharmacology, toxicology and pharmaceutics"
2-s2.0-85090854295,computer science
2-s2.0-85090854295,engineering
2-s2.0-85090854295,mathematics
2-s2.0-85079599738,multidisciplinary
2-s2.0-85079494018,multidisciplinary
2-s2.0-85084403657,chemistry
2-s2.0-85087759500,physics and astronomy
2-s2.0-85093948579,medicine
2-s2.0-85092502919,agricultural & biological sciences
2-s2.0-85095997142,physics and astronomy
2-s2.0-85087084844,environmental science
2-s2.0-85088929638,medicine
2-s2.0-85091083762,computer science
2-s2.0-85092326721,engineering
2-s2.0-85083573961,chemistry
2-s2.0-85083573961,physics and astronomy
2-s2.0-85090933764,materials science
2-s2.0-85090933764,physics and astronomy
2-s2.0-85086140349,chemistry
2-s2.0-85086140349,materials science
2-s2.0-85086140349,physics and astronomy
2-s2.0-85087503064,energy
2-s2.0-85087503064,physics and astronomy
2-s2.0-85094656013,mathematics
2-s2.0-85094681826,mathematics
2-s2.0-85094683153,mathematics
2-s2.0-85085964738,chemistry
2-s2.0-85085964738,materials science
2-s2.0-85085964738,physics and astronomy
2-s2.0-85086310363,chemistry
2-s2.0-85086310363,materials science
2-s2.0-85086310363,physics and astronomy
2-s2.0-85085259561,chemistry
2-s2.0-85085259561,materials science
2-s2.0-85085259561,physics and astronomy
2-s2.0-85089813931,materials science
2-s2.0-85089813931,physics and astronomy
2-s2.0-85073808685,"biochemistry, genetics & molecular biology"
2-s2.0-85093514992,physics and astronomy
2-s2.0-85089656511,chemical engineering
2-s2.0-85089656511,chemistry
2-s2.0-85090932753,chemical engineering
2-s2.0-85090932753,chemistry
2-s2.0-85095772332,physics and astronomy
2-s2.0-85085584668,chemistry
2-s2.0-85079725270,"biochemistry, genetics & molecular biology"
2-s2.0-85079725270,neuroscience
2-s2.0-85079725270,"pharmacology, toxicology and pharmaceutics"
2-s2.0-85085234472,engineering
2-s2.0-85085234472,mathematics
2-s2.0-85085234472,physics and astronomy
2-s2.0-85092767596,computer science
2-s2.0-85092767596,engineering
2-s2.0-85092767596,materials science
2-s2.0-85092767596,mathematics
2-s2.0-85103324154,chemistry
2-s2.0-85089988147,chemical engineering
2-s2.0-85089988147,physics and astronomy
2-s2.0-85083865957,medicine
2-s2.0-85082012841,chemistry
2-s2.0-85085284099,energy
2-s2.0-85085284099,engineering
2-s2.0-85085284099,environmental science
2-s2.0-85089713760,"biochemistry, genetics & molecular biology"
2-s2.0-85089713760,immunology and microbiology
2-s2.0-85089713760,"pharmacology, toxicology and pharmaceutics"
2-s2.0-85087710198,"biochemistry, genetics & molecular biology"
2-s2.0-85087710198,health professions
2-s2.0-85087710198,medicine
2-s2.0-85087710198,physics and astronomy
2-s2.0-85084061836,environmental science
2-s2.0-85076237868,energy
2-s2.0-85076237868,engineering
2-s2.0-85083898942,energy
2-s2.0-85083898942,engineering
2-s2.0-85092509536,energy
2-s2.0-85092509536,engineering
2-s2.0-85092509536,mathematics
2-s2.0-85067893630,chemical engineering
2-s2.0-85091119588,mathematics
2-s2.0-85091074152,mathematics
2-s2.0-85081011351,chemical engineering
2-s2.0-85081011351,materials science
2-s2.0-85090345477,chemical engineering
2-s2.0-85086851801,engineering
2-s2.0-85086851801,physics and astronomy
2-s2.0-85090248114,agricultural & biological sciences
2-s2.0-85090248114,"biochemistry, genetics & molecular biology"
2-s2.0-85090248114,environmental science
2-s2.0-85090248114,social sciences
2-s2.0-85077926591,mathematics
2-s2.0-85077926591,physics and astronomy
2-s2.0-85090868828,unknown
2-s2.0-85090855859,unknown
2-s2.0-85090411445,chemical engineering
2-s2.0-85090411445,engineering
2-s2.0-85090411445,materials science
2-s2.0-85090411445,physics and astronomy
2-s2.0-85088247217,chemistry
2-s2.0-85088247217,physics and astronomy
2-s2.0-85081739836,environmental science
2-s2.0-85077742952,mathematics
2-s2.0-85077742952,physics and astronomy
2-s2.0-85088031090,chemistry
2-s2.0-85088031090,energy
2-s2.0-85088031090,materials science
2-s2.0-85084433902,energy
2-s2.0-85084433902,physics and astronomy
2-s2.0-85079595867,engineering
2-s2.0-85079595867,materials science
2-s2.0-85088822082,"biochemistry, genetics & molecular biology"
2-s2.0-85088822082,medicine
2-s2.0-85067673968,computer science
2-s2.0-85067673968,mathematics
2-s2.0-85087120977,materials science
2-s2.0-85077926218,chemistry
2-s2.0-85077926218,computer science
2-s2.0-85077926218,engineering
2-s2.0-85077926218,materials science
2-s2.0-85077926218,physics and astronomy
2-s2.0-85086789094,"biochemistry, genetics & molecular biology"
2-s2.0-85122031740,medicine
2-s2.0-85101332453,medicine
2-s2.0-85092662784,materials science
2-s2.0-85092662784,physics and astronomy
2-s2.0-85079614006,engineering
2-s2.0-85122003190,medicine
2-s2.0-85084268845,energy
2-s2.0-85084268845,engineering
2-s2.0-85084268845,environmental science
2-s2.0-85084268845,mathematics
2-s2.0-85086947729,physics and astronomy
2-s2.0-85097452196,environmental science
2-s2.0-85091852426,"pharmacology, toxicology and pharmaceutics"
2-s2.0-85096491152,medicine
2-s2.0-85085886266,medicine
2-s2.0-85087068001,engineering
2-s2.0-85087068001,mathematics
2-s2.0-85089008585,medicine
2-s2.0-85085113886,"pharmacology, toxicology and pharmaceutics"
2-s2.0-85084753870,"pharmacology, toxicology and pharmaceutics"
2-s2.0-85096483770,medicine
2-s2.0-85084061103,engineering
2-s2.0-85084061103,materials science
2-s2.0-85088741347,materials science
2-s2.0-85089074554,earth and planetary sciences
2-s2.0-85089074554,materials science
2-s2.0-85089074554,physics and astronomy
2-s2.0-85088157452,multidisciplinary
2-s2.0-85081023316,engineering
2-s2.0-85081023316,physics and astronomy
2-s2.0-85087406237,materials science
2-s2.0-85087406237,physics and astronomy
2-s2.0-85076225538,chemistry
2-s2.0-85076225538,physics and astronomy
2-s2.0-85079045009,engineering
2-s2.0-85079045009,materials science
2-s2.0-85074027336,mathematics
2-s2.0-85074027336,physics and astronomy
2-s2.0-85085535659,"biochemistry, genetics & molecular biology"
2-s2.0-85086624852,"biochemistry, genetics & molecular biology"
2-s2.0-85070761758,medicine
2-s2.0-85072018984,medicine
2-s2.0-85081250893,immunology and microbiology
2-s2.0-85081250893,medicine
2-s2.0-85081250893,veterinary
2-s2.0-85081254309,"biochemistry, genetics & molecular biology"
2-s2.0-85081254309,medicine
2-s2.0-85105853739,environmental science
2-s2.0-85068827355,medicine
2-s2.0-85085352674,chemical engineering
2-s2.0-85085352674,engineering
2-s2.0-85087695473,physics and astronomy
2-s2.0-85091880432,engineering
2-s2.0-85091880432,materials science
2-s2.0-85091792406,mathematics
2-s2.0-85078027912,"biochemistry, genetics & molecular biology"
2-s2.0-85078027912,"pharmacology, toxicology and pharmaceutics"
2-s2.0-85067785200,computer science
2-s2.0-85081656497,immunology and microbiology
2-s2.0-85081656497,medicine
2-s2.0-85082961973,energy
2-s2.0-85082961973,engineering
2-s2.0-85083003614,multidisciplinary
2-s2.0-85078672667,earth and planetary sciences
2-s2.0-85078672667,energy
2-s2.0-85084365951,medicine
2-s2.0-85084365951,psychology
2-s2.0-85088028971,computer science
2-s2.0-85088028971,engineering
2-s2.0-85083457686,engineering
2-s2.0-85074460369,computer science
2-s2.0-85074460369,mathematics
2-s2.0-85083393027,computer science
2-s2.0-85083393027,engineering
2-s2.0-85083393027,mathematics
2-s2.0-85088780602,chemical engineering
2-s2.0-85088780602,materials science
2-s2.0-85088385536,energy
2-s2.0-85088385536,engineering
2-s2.0-85088385536,mathematics
2-s2.0-85086362728,unknown
2-s2.0-85086413489,unknown
2-s2.0-85192663270,"biochemistry, genetics & molecular biology"
2-s2.0-85192663270,medicine
2-s2.0-85078272320,engineering
2-s2.0-85078272320,materials science
2-s2.0-85067886580,engineering
2-s2.0-85079096309,chemistry
2-s2.0-85082023264,chemistry
2-s2.0-85082023264,materials science
2-s2.0-85082023264,physics and astronomy
2-s2.0-85084873268,"biochemistry, genetics & molecular biology"
2-s2.0-85079094334,materials science
2-s2.0-85079094334,physics and astronomy
2-s2.0-85077660218,engineering
2-s2.0-85077660218,materials science
2-s2.0-85079181731,environmental science
2-s2.0-85075665103,chemical engineering
2-s2.0-85075665103,chemistry
2-s2.0-85075665103,materials science
2-s2.0-85082334534,materials science
2-s2.0-85083539592,chemistry
2-s2.0-85083539592,physics and astronomy
2-s2.0-85091298032,engineering
2-s2.0-85074942568,"biochemistry, genetics & molecular biology"
2-s2.0-85079404676,physics and astronomy
2-s2.0-85078049298,immunology and microbiology
2-s2.0-85078049298,medicine
2-s2.0-85084510420,dentistry
2-s2.0-85084388638,medicine
2-s2.0-85083756535,environmental science
2-s2.0-85078992824,chemical engineering
2-s2.0-85078992824,chemistry
2-s2.0-85078992824,energy
2-s2.0-85080906737,chemistry
2-s2.0-85080906737,materials science
2-s2.0-85080906737,physics and astronomy
2-s2.0-85081124614,engineering
2-s2.0-85081124614,mathematics
2-s2.0-85081124614,physics and astronomy
2-s2.0-85080071844,engineering
2-s2.0-85080071844,mathematics
2-s2.0-85080071844,physics and astronomy
2-s2.0-85087592397,unknown
2-s2.0-85085158273,medicine
2-s2.0-85081970550,computer science
2-s2.0-85081970550,engineering
2-s2.0-85081970550,mathematics
2-s2.0-85086984770,engineering
2-s2.0-85070382427,"business, management and accounting"
2-s2.0-85070382427,computer science
2-s2.0-85070382427,decision sciences
2-s2.0-85070382427,social sciences
2-s2.0-85077901709,engineering
2-s2.0-85077901709,materials science
2-s2.0-85080907640,chemistry
2-s2.0-85080907640,materials science
2-s2.0-85080907640,physics and astronomy
2-s2.0-85076557407,chemical engineering
2-s2.0-85076557407,materials science
2-s2.0-85083187754,"biochemistry, genetics & molecular biology"
2-s2.0-85083187754,medicine
2-s2.0-85077043016,"business, management and accounting"
2-s2.0-85077043016,energy
2-s2.0-85077043016,engineering
2-s2.0-85077043016,environmental science
2-s2.0-85075564220,engineering
2-s2.0-85087462716,engineering
2-s2.0-85087462716,materials science
2-s2.0-85085000122,engineering
2-s2.0-85085000122,mathematics
2-s2.0-85081638909,"biochemistry, genetics & molecular biology"
2-s2.0-85123606940,medicine
2-s2.0-85091721491,"pharmacology, toxicology and pharmaceutics"
2-s2.0-85079384981,chemistry
2-s2.0-85079384981,materials science
2-s2.0-85079384981,physics and astronomy
2-s2.0-85088245784,medicine
2-s2.0-85088245784,social sciences
2-s2.0-85076562026,chemical engineering
2-s2.0-85076562026,environmental science
2-s2.0-85079730554,earth and planetary sciences
2-s2.0-85079730554,engineering
2-s2.0-85079730554,environmental science
2-s2.0-85080150222,engineering
2-s2.0-85080150222,materials science
2-s2.0-85080150222,physics and astronomy
2-s2.0-85087403479,environmental science
2-s2.0-85087403479,medicine
2-s2.0-85087403479,"pharmacology, toxicology and pharmaceutics"
2-s2.0-85087403479,social sciences
2-s2.0-85091951209,unknown
2-s2.0-85075441281,chemical engineering
2-s2.0-85075441281,materials science
2-s2.0-85075144479,chemistry
2-s2.0-85076824060,chemistry
2-s2.0-85076824060,materials science
2-s2.0-85094098588,"pharmacology, toxicology and pharmaceutics"
2-s2.0-85095841778,chemical engineering
2-s2.0-85095841778,materials science
2-s2.0-85078930489,"pharmacology, toxicology and pharmaceutics"
2-s2.0-85079179697,environmental science
2-s2.0-85092227054,medicine
2-s2.0-85102921489,medicine
2-s2.0-85085376969,agricultural & biological sciences
2-s2.0-85085376969,environmental science
2-s2.0-85078818127,computer science
2-s2.0-85076554537,chemical engineering
2-s2.0-85076554537,chemistry
2-s2.0-85076554537,environmental science
2-s2.0-85076554537,medicine
2-s2.0-85076554537,physics and astronomy
2-s2.0-85063007818,computer science
2-s2.0-85063007818,engineering
2-s2.0-85063007818,mathematics
2-s2.0-85085096510,engineering
2-s2.0-85083478315,"biochemistry, genetics & molecular biology"
2-s2.0-85083478315,chemistry
2-s2.0-85083478315,"pharmacology, toxicology and pharmaceutics"
2-s2.0-85082977939,multidisciplinary
2-s2.0-85074036725,computer science
2-s2.0-85074036725,engineering
2-s2.0-85074036725,materials science
2-s2.0-85074036725,physics and astronomy
2-s2.0-85079854635,energy
2-s2.0-85079854635,engineering
2-s2.0-85078099672,engineering
2-s2.0-85078099672,materials science
2-s2.0-85078202093,mathematics
2-s2.0-85078202093,physics and astronomy
2-s2.0-85082080490,unknown
2-s2.0-85082037792,unknown
2-s2.0-85082072713,unknown
2-s2.0-85081349278,health professions
2-s2.0-85081349278,medicine
2-s2.0-85077929792,engineering
2-s2.0-85077929792,materials science
2-s2.0-85077929792,physics and astronomy
2-s2.0-85065643467,medicine
2-s2.0-85204348907,"biochemistry, genetics & molecular biology"
2-s2.0-85204348907,medicine
2-s2.0-85204348907,"pharmacology, toxicology and pharmaceutics"
2-s2.0-85074393584,materials science
2-s2.0-85074393584,physics and astronomy
2-s2.0-85073835219,chemical engineering
2-s2.0-85073835219,chemistry
2-s2.0-85073835219,environmental science
2-s2.0-85073835219,medicine
2-s2.0-85073835219,physics and astronomy
2-s2.0-85082651285,arts and humanities
2-s2.0-85082651285,social sciences
2-s2.0-85084078791,"business, management and accounting"
2-s2.0-85084078791,health professions
2-s2.0-85084078791,medicine
2-s2.0-85084078791,psychology
2-s2.0-85084078791,social sciences
2-s2.0-85074194942,chemical engineering
2-s2.0-85074194942,chemistry
2-s2.0-85074194942,environmental science
2-s2.0-85074194942,medicine
2-s2.0-85074194942,physics and astronomy
2-s2.0-85074461062,computer science
2-s2.0-85074461062,engineering
2-s2.0-85085005525,medicine
2-s2.0-85085005525,neuroscience
2-s2.0-85049581614,computer science
2-s2.0-85078215658,"biochemistry, genetics & molecular biology"
2-s2.0-85078215658,"pharmacology, toxicology and pharmaceutics"
2-s2.0-85075200677,chemical engineering
2-s2.0-85075200677,engineering
2-s2.0-85075200677,materials science
2-s2.0-85079047364,"pharmacology, toxicology and pharmaceutics"
2-s2.0-85078837061,chemistry
2-s2.0-85078837061,materials science
2-s2.0-85078837061,physics and astronomy
2-s2.0-85063033292,computer science
2-s2.0-85078561906,"biochemistry, genetics & molecular biology"
2-s2.0-85078561906,"pharmacology, toxicology and pharmaceutics"
2-s2.0-85076544972,chemical engineering
2-s2.0-85076544972,chemistry
2-s2.0-85076544972,energy
2-s2.0-85080067319,engineering
2-s2.0-85077702707,chemistry
2-s2.0-85077702707,materials science
2-s2.0-85077702707,physics and astronomy
2-s2.0-85076121617,chemical engineering
2-s2.0-85076121617,chemistry
2-s2.0-85071748957,chemistry
2-s2.0-85071748957,physics and astronomy
2-s2.0-85076542226,materials science
2-s2.0-85077190692,materials science
2-s2.0-85082678751,chemistry
2-s2.0-85082678751,materials science
2-s2.0-85074237184,chemical engineering
2-s2.0-85074237184,chemistry
2-s2.0-85074237184,environmental science
2-s2.0-85074237184,medicine
2-s2.0-85074237184,physics and astronomy
2-s2.0-85081958625,chemical engineering
2-s2.0-85081958625,physics and astronomy
2-s2.0-85082761146,chemistry
2-s2.0-85082761146,materials science
2-s2.0-85082761146,physics and astronomy
2-s2.0-85077723846,energy
2-s2.0-85077723846,engineering
2-s2.0-85077723846,environmental science
2-s2.0-85077723846,mathematics
2-s2.0-85077472536,"biochemistry, genetics & molecular biology"
2-s2.0-85073741059,chemical engineering
2-s2.0-85073741059,chemistry
2-s2.0-85073741059,environmental science
2-s2.0-85073741059,medicine
2-s2.0-85073741059,physics and astronomy
2-s2.0-85071752592,chemistry
2-s2.0-85071752592,physics and astronomy
2-s2.0-85077660067,immunology and microbiology
2-s2.0-85077660067,medicine
2-s2.0-85077660067,"pharmacology, toxicology and pharmaceutics"
2-s2.0-85071469551,chemistry
2-s2.0-85071469551,physics and astronomy
2-s2.0-85081239154,computer science
2-s2.0-85081239154,materials science
2-s2.0-85075553260,engineering
2-s2.0-85075553260,physics and astronomy
2-s2.0-85082777823,chemistry
2-s2.0-85082777823,materials science
2-s2.0-85082777823,physics and astronomy
2-s2.0-85068111242,computer science
2-s2.0-85068111242,energy
2-s2.0-85068111242,engineering
2-s2.0-85082814367,chemistry
2-s2.0-85082814367,materials science
2-s2.0-85082814367,physics and astronomy
2-s2.0-85082083673,engineering
2-s2.0-85082083673,mathematics
2-s2.0-85082083673,physics and astronomy
2-s2.0-85072098756,computer science
2-s2.0-85072098756,engineering
2-s2.0-85072098756,materials science
2-s2.0-85072098756,physics and astronomy
2-s2.0-85088653852,multidisciplinary
2-s2.0-85087439194,computer science
2-s2.0-85087439194,engineering
2-s2.0-85077736971,energy
2-s2.0-85077736971,physics and astronomy
2-s2.0-85077231767,chemistry
2-s2.0-85077231767,materials science
2-s2.0-85077231767,physics and astronomy
2-s2.0-85077322857,energy
2-s2.0-85077322857,engineering
2-s2.0-85077322857,environmental science
2-s2.0-85077322857,mathematics
2-s2.0-85076252649,chemistry
2-s2.0-85076252649,materials science
2-s2.0-85076252649,physics and astronomy
2-s2.0-85076167707,mathematics
2-s2.0-85076167707,physics and astronomy
2-s2.0-85090821815,physics and astronomy
2-s2.0-85078989609,physics and astronomy
2-s2.0-85079083283,psychology
2-s2.0-85071315561,chemical engineering
2-s2.0-85071315561,energy
2-s2.0-85084521748,physics and astronomy
2-s2.0-85078398418,chemical engineering
2-s2.0-85078398418,physics and astronomy
2-s2.0-85079101552,engineering
2-s2.0-85079101552,materials science
2-s2.0-85079101552,physics and astronomy
2-s2.0-85076842931,chemistry
2-s2.0-85076842931,materials science
2-s2.0-85076842931,physics and astronomy
2-s2.0-85072559410,chemical engineering
2-s2.0-85072559410,materials science
2-s2.0-85069702565,medicine
2-s2.0-85072938746,chemistry
2-s2.0-85072938746,materials science
2-s2.0-85069807764,earth and planetary sciences
2-s2.0-85069807764,energy
2-s2.0-85075532278,"pharmacology, toxicology and pharmaceutics"
2-s2.0-85076170516,chemistry
2-s2.0-85077752885,engineering
2-s2.0-85077752885,materials science
2-s2.0-85077752885,physics and astronomy
2-s2.0-85073720025,engineering
2-s2.0-85073720025,materials science
2-s2.0-85073720025,physics and astronomy
2-s2.0-85075911156,engineering
2-s2.0-85075503433,computer science
2-s2.0-85075503433,earth and planetary sciences
2-s2.0-85075862668,chemical engineering
2-s2.0-85075862668,chemistry
2-s2.0-85075862668,materials science
2-s2.0-85082758367,computer science
2-s2.0-85082758367,engineering
2-s2.0-85070416916,chemistry
2-s2.0-85070416916,physics and astronomy
2-s2.0-85077157842,engineering
2-s2.0-85074697594,energy
2-s2.0-85074697594,engineering
2-s2.0-85079571567,materials science
2-s2.0-85079571567,physics and astronomy
2-s2.0-85078496516,engineering
2-s2.0-85078496516,environmental science
2-s2.0-85075003996,"pharmacology, toxicology and pharmaceutics"
2-s2.0-85079502800,chemistry
2-s2.0-85072630145,engineering
2-s2.0-85072630145,materials science
2-s2.0-85074919601,chemical engineering
2-s2.0-85078550371,materials science
2-s2.0-85078151767,unknown
2-s2.0-85078113238,unknown
2-s2.0-85078147595,unknown
2-s2.0-85078219273,unknown
2-s2.0-85076470423,agricultural & biological sciences
2-s2.0-85076470423,"biochemistry, genetics & molecular biology"
2-s2.0-85076470423,materials science
2-s2.0-85078422354,chemical engineering
2-s2.0-85078422354,chemistry
2-s2.0-85078422354,engineering
2-s2.0-85072607777,chemistry
2-s2.0-85074335692,environmental science
2-s2.0-85082764703,engineering
2-s2.0-85082764703,materials science
2-s2.0-85068645565,engineering
2-s2.0-85075916419,"biochemistry, genetics & molecular biology"
2-s2.0-85082814513,medicine
2-s2.0-85091703235,health professions
2-s2.0-85091703235,"pharmacology, toxicology and pharmaceutics"
2-s2.0-85091703235,social sciences
2-s2.0-85089967608,"pharmacology, toxicology and pharmaceutics"
2-s2.0-85082660101,"biochemistry, genetics & molecular biology"
2-s2.0-85082660101,medicine
2-s2.0-85082660101,"pharmacology, toxicology and pharmaceutics"
2-s2.0-85103797918,medicine
2-s2.0-85098505053,engineering
2-s2.0-85098505053,environmental science
2-s2.0-85083554441,chemistry
2-s2.0-85084216820,"biochemistry, genetics & molecular biology"
2-s2.0-85084216820,chemistry
2-s2.0-85090258656,engineering
2-s2.0-85090258656,medicine
2-s2.0-85090258656,"pharmacology, toxicology and pharmaceutics"
2-s2.0-85097973462,immunology and microbiology
2-s2.0-85097973462,medicine
2-s2.0-85084231673,environmental science
2-s2.0-85090638138,agricultural & biological sciences
2-s2.0-85086988554,"biochemistry, genetics & molecular biology"
2-s2.0-85086988554,immunology and microbiology
2-s2.0-85070988417,engineering
2-s2.0-85070988417,materials science
2-s2.0-85070988417,physics and astronomy
2-s2.0-85086470123,"biochemistry, genetics & molecular biology"
2-s2.0-85086470123,immunology and microbiology
2-s2.0-85086470123,medicine
2-s2.0-85095393558,immunology and microbiology
2-s2.0-85095393558,medicine
2-s2.0-85100254987,"pharmacology, toxicology and pharmaceutics"
2-s2.0-85089546707,medicine
2-s2.0-85082862637,arts and humanities
2-s2.0-85082862637,psychology
2-s2.0-85082862637,social sciences
2-s2.0-85086771889,engineering
2-s2.0-85075901730,chemistry
2-s2.0-85075901730,materials science
2-s2.0-85075901730,physics and astronomy
2-s2.0-85100321885,medicine
2-s2.0-85086897412,computer science
2-s2.0-85083557142,arts and humanities
2-s2.0-85083557142,social sciences
2-s2.0-85125871558,agricultural & biological sciences
2-s2.0-85092199739,mathematics
2-s2.0-85079362150,chemical engineering
2-s2.0-85079362150,computer science
2-s2.0-85079362150,engineering
2-s2.0-85099371999,engineering
2-s2.0-85099371999,materials science
2-s2.0-85084477891,mathematics
2-s2.0-85086145598,mathematics
2-s2.0-85091832519,earth and planetary sciences
2-s2.0-85077859292,chemistry
2-s2.0-85077015480,chemical engineering
2-s2.0-85077015480,environmental science
