country,year,total_output
Morocco,2012,3677
Morocco,2013,3989
Morocco,2014,5081
Morocco,2015,4904
Morocco,2016,6347
Morocco,2017,6905
Morocco,2018,7782
Morocco,2019,8968
Morocco,2020,10433
Morocco,2021,11738
Morocco,2022,12932
Morocco,2023,14919
Morocco,2024,18411
Morocco,2025,19496
Oman,2000,322
Oman,2001,337
Oman,2002,360
Oman,2003,446
Oman,2004,462
Oman,2005,526
Oman,2006,604
Oman,2007,689
Oman,2008,749
Oman,2009,903
Oman,2010,1031
Oman,2011,1127
Oman,2012,1241
Oman,2013,1349
Oman,2014,1493
Oman,2015,1714
Oman,2016,1894
Oman,2017,1891
Oman,2018,2085
Oman,2019,2465
Oman,2020,2835
Oman,2021,3693
Oman,2022,4309
Oman,2023,4579
Oman,2024,6348
Oman,2025,7689
Palestine,2000,63
Palestine,2001,79
Palestine,2002,119
Palestine,2003,130
Palestine,2004,159
Palestine,2005,160
Palestine,2006,196
Palestine,2007,280
Palestine,2008,279
Palestine,2009,337
Palestine,2010,353
Palestine,2011,404
Palestine,2012,472
Palestine,2013,531
Palestine,2014,617
Palestine,2015,572
Palestine,2016,625
Palestine,2017,837
Palestine,2018,895
Palestine,2019,1061
Palestine,2020,1330
Palestine,2021,1637
Palestine,2022,1942
Palestine,2023,2362
Palestine,2024,2537
Palestine,2025,3233
Qatar,2000,67
Qatar,2001,118
Qatar,2002,130
Qatar,2003,167
Qatar,2004,208
Qatar,2005,271
Qatar,2006,314
Qatar,2007,401
Qatar,2008,575
Qatar,2009,644
Qatar,2010,806
Qatar,2011,969
Qatar,2012,1383
Qatar,2013,1972
Qatar,2014,2864
Qatar,2015,3426
Qatar,2016,4059
Qatar,2017,4139
Qatar,2018,4234
Qatar,2019,4774
Qatar,2020,5749
Qatar,2021,6575
Qatar,2022,6533
Qatar,2023,6602
Qatar,2024,7283
Qatar,2025,8094
Saudi Arabia,2000,2075
Saudi Arabia,2001,2006
Saudi Arabia,2002,2138
Saudi Arabia,2003,2447
Saudi Arabia,2004,2441
Saudi Arabia,2005,2556
Saudi Arabia,2006,2781
Saudi Arabia,2007,2981
Saudi Arabia,2008,3475
Saudi Arabia,2009,4593
Saudi Arabia,2010,6585
Saudi Arabia,2011,9670
Saudi Arabia,2012,12698
Saudi Arabia,2013,15548
Saudi Arabia,2014,18237
Saudi Arabia,2015,20309
Saudi Arabia,2016,21761
Saudi Arabia,2017,22495
Saudi Arabia,2018,24231
Saudi Arabia,2019,28809
Saudi Arabia,2020,38660
Saudi Arabia,2021,48811
Saudi Arabia,2022,59182
Saudi Arabia,2023,62673
Saudi Arabia,2024,72622
Saudi Arabia,2025,81021
Sudan,2000,114
Sudan,2001,100
Sudan,2002,118
Sudan,2003,142
Sudan,2004,175
Sudan,2005,195
Sudan,2006,214
Sudan,2007,297
Sudan,2008,317
Sudan,2009,443
Sudan,2010,537
Sudan,2011,598
Sudan,2012,622
Sudan,2013,773
Sudan,2014,742
Sudan,2015,707
Sudan,2016,894
Sudan,2017,902
Sudan,2018,1052
Sudan,2019,1185
Sudan,2020,1401
Sudan,2021,1870
Sudan,2022,2106
Sudan,2023,1951
Sudan,2024,2141
Sudan,2025,2461
Syria,2000,0
Syria,2001,0
Syria,2002,0
Syria,2003,0
Syria,2004,0
Syria,2005,0
Syria,2006,0
Syria,2007,0
Syria,2008,0
Syria,2009,0
Syria,2010,0
Syria,2011,0
Syria,2012,0
Syria,2013,0
Syria,2014,0
Syria,2015,0
Syria,2016,0
Syria,2017,0
Syria,2018,0
Syria,2019,0
Syria,2020,0
Syria,2021,0
Syria,2022,0
Syria,2023,0
Syria,2024,0
Syria,2025,0
Tunisia,2000,844
Tunisia,2001,1039
Tunisia,2002,1237
Tunisia,2003,1388
Tunisia,2004,1772
Tunisia,2005,2246
Tunisia,2006,2691
Tunisia,2007,3103
Tunisia,2008,3947
Tunisia,2009,4439
Tunisia,2010,4847
Tunisia,2011,5391
Tunisia,2012,5723
Tunisia,2013,6277
Tunisia,2014,6760
Tunisia,2015,7524
Tunisia,2016,8350
Tunisia,2017,9176
Tunisia,2018,8620
Tunisia,2019,8515
Tunisia,2020,8764
Tunisia,2021,9469
Tunisia,2022,10533
Tunisia,2023,10310
Tunisia,2024,11413
Tunisia,2025,11539
Turkey,2000,8182
Turkey,2001,9974
Turkey,2002,12758
Turkey,2003,15979
Turkey,2004,19027
Turkey,2005,21104
Turkey,2006,23559
Turkey,2007,25804
Turkey,2008,26704
Turkey,2009,31112
Turkey,2010,33591
Turkey,2011,35279
Turkey,2012,37221
Turkey,2013,40774
Turkey,2014,41621
Turkey,2015,45632
Turkey,2016,48690
Turkey,2017,46473
Turkey,2018,47366
Turkey,2019,53941
Turkey,2020,60735
Turkey,2021,70192
Turkey,2022,74555
Turkey,2023,77104
Turkey,2024,81868
Turkey,2025,99439
United Arab Emirates,2000,515
United Arab Emirates,2001,571
United Arab Emirates,2002,635
United Arab Emirates,2003,909
United Arab Emirates,2004,985
United Arab Emirates,2005,1277
United Arab Emirates,2006,1498
United Arab Emirates,2007,1568
United Arab Emirates,2008,1779
United Arab Emirates,2009,2102
United Arab Emirates,2010,2524
United Arab Emirates,2011,2866
United Arab Emirates,2012,3373
United Arab Emirates,2013,3667
United Arab Emirates,2014,4022
United Arab Emirates,2015,5136
United Arab Emirates,2016,5918
United Arab Emirates,2017,6838
United Arab Emirates,2018,7657
United Arab Emirates,2019,9540
United Arab Emirates,2020,11351
United Arab Emirates,2021,13778
United Arab Emirates,2022,16849
United Arab Emirates,2023,20258
United Arab Emirates,2024,23712
United Arab Emirates,2025,24529
